Product URL,name,brand name,price
https://www.ajio.com/fusionic-women-printed-anarkali-kurta-with-dupatta/p/466583447_green,Women Printed Anarkali Kurta with Dupatta,FUSIONIC,1722
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_pink,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/wuxi-mid-rise-trousers-with-elasticated-waist/p/467078020_white,Mid-Rise Trousers with Elasticated Waist,WUXI,360
https://www.ajio.com/fable-street-v-neck-top-with-tie-up-sleeves/p/464051255_red,V-neck Top with Tie-Up Sleeves,Fable Street,1383
https://www.ajio.com/nehu-empires-women-floral-print-flared-kurta/p/467093448_aqua,Women Floral Print Flared Kurta,Nehu Empires,555
https://www.ajio.com/maai-we-complete-you-women-floral-straight-kurta-with-scoop-neck/p/700024900_blue,Women Floral Straight Kurta with Scoop Neck,MAAI WE COMPLETE YOU,480
https://www.ajio.com/kotty-lightly-washed-relaxed-jeans/p/463940055_blue,Lightly Washed Relaxed Jeans,KOTTY,560
https://www.ajio.com/adbucks-women-regular-fit-straight-jeans-with-insert-pockets/p/465898003_beige,Women Regular Fit Straight Jeans with Insert Pockets,ADBUCKS,940
https://www.ajio.com/purvija-kurties-embroidered-flared-kurta/p/466595419_maroon,Embroidered Flared Kurta,PURVIJA KURTIES,624
https://www.ajio.com/global-republic-floral-print-sheath-dress/p/466176299_black,Floral Print Sheath Dress,GLOBAL REPUBLIC,1287
